"Sentiment,""SentimentText"""
"0,"" - Why must people be so picky. I mean 6 hours work and no dice!? whatï¿½s up with that! http://tumblr.com/xsg1m3ufn"""
"0,""  Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp"""
"1,""  wide awake   NOT!!!"""
"1,""  yeah me too. Its been awful weather here for the last week so that stinks. Kristis comin down and moe said mmmaybe he take us for  ..."""
"0,"" - You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your... http://tumblr.com/xaj24dkly"""
"0,""  you'll always be my one and only...  [12*23*2007]"""
"0,"" #3turnoffwords this shit sucks"""
"0,"" #asylm J2 panel is over. Guess it's back to normal life."""
"1,"" #poemsunder140 ....started by @shannonelyse1"""
"0,"" #squarespace brighten my bad day! i never win anything..."""
"0,"" #twenty20"""
"0,"" (tears) :'-( Today is the last day with my kids...They go on summer break at their Dads tomorrow. *sighs* http://plurk.com/p/x8j86"""
"0,"" (unsure) (annoyed) http://plurk.com/p/1230lz"""
"0,"" (via @designrelated) are designed gallery exhibition postcards/mailers going extinct? via NYT http://ow.ly/fHJc"""
"0,"" *BeautifulyLost"""
"0,""- *cries* I'm going to miss Harry Potter when it comes out.  I'm leaving to Vietnam on July 11th.  I'm going to cry!!"""
"1,""-- *hummin* I SAY &quot"""
"1,""-- . *sigh* You cant love someone that doesn't love you back that's like stalker status . GET a divorce &amp"""
"1,""-- . Triiiiiii .  ily . even if Chaise doesn't . =D *dies of laughter*"""
"0,"" .. i wantt hiim soo badd !!"""
"0,"" ... had weird encounters with so many homeless/creeps on the walk home tonight all by myself   awesome... really..."""
"0,"" ... Rained out truck race"""
"0,"" ... Why am I feeling worse??? F!!!"""
"0,"" .... Feeling pain and happiness at the same time. How confusing!"""
"1,"" ..... hot choco is the best!"""
"0,"" ....in a shirt and panties. celulite"""
"0,"" ..had to turn back to North due to body on line. So missing Design Council Design 4 Tech Transfer event   http://bit.ly/pXrzV..."""
"0,"" ..y everything is so hard? :/"""
"0,"" .bueno good bye. good night"""
"1,"" : Beach day with Scoobs. =( : Still no phone."""
"0,"" :[ I don't want to move!!!"""
"1,"" @ canaveral national  seashore"""
"1,"" @ progressing in the production department with &quot"""
"1,"" @ taylorrhicks enjoy chicago..b new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone. """
"0,"" @ the train crash in DC ....."""
"1,""' @ Thestreetforce  '"""
"1,"" @3sixty5days makes me smile."""
"1,"" @alexrauchman I am happy you are staying around here. Drexel is a fabulous university. You should be proud. yeah."""
"0,"" @alvinkschneider what happened to angels and demons and lions and tigers and bears!?"""
"0,"" @AmericanWomannn Well that sure minimizes the impact...LOL"""
"1,"" @CharlottegC I just saw ur mum"""
"1,"" @chloelunn and @meganmcdowell GET YOUR FAT ASSES ON HERE. NAI."""
"1,"" @copicmarker&quot"""
